index,monthly_real,monthly_imag,monthly_modulus,annual_real,annual_imag,annual_modulus,annual_phase_radians_principal,annual_stability
30,0.23885534513080528,0.032434091086652954,0.24104739401655725,-1.8760541739926876e-09,3.8433727872394385e-08,3.847948826885592e-08,1.6195703175575564,decay
31,0.23885534513080528,-0.032434091086652954,0.24104739401655725,-1.8760541739926876e-09,-3.8433727872394385e-08,3.847948826885592e-08,-1.6195703175575564,decay
32,0.20579772376160005,0.0811783069750001,0.22122979145852664,-2.781278567990645e-09,-1.3459973076404844e-08,1.3744321943635756e-08,-1.774561841533441,decay
33,0.20579772376160005,-0.0811783069750001,0.22122979145852664,-2.781278567990645e-09,1.3459973076404844e-08,1.3744321943635756e-08,1.774561841533441,decay
20,0.08757821326057,0.19737947773028316,0.2159365686191045,3.026484144466724e-09,9.822447181131114e-09,1.027813576981833e-08,1.271907509457284,decay
21,0.08757821326057,-0.19737947773028316,0.2159365686191045,3.026484144466724e-09,-9.822447181131114e-09,1.027813576981833e-08,-1.271907509457284,decay
12,-0.058452582928623084,0.19087012985777232,0.19961991614803978,-3.648228531220847e-09,-1.64891706432438e-09,4.003560777736982e-09,-2.717095487726671,decay
13,-0.058452582928623084,-0.19087012985777232,0.19961991614803978,-3.648228531220847e-09,1.64891706432438e-09,4.003560777736982e-09,2.717095487726671,decay
36,0.1906945922897017,0.038155378030566345,0.19447431810187943,-2.097186085889671e-09,2.0411163552805917e-09,2.9264902963521277e-09,2.3697426299892825,decay
37,0.1906945922897017,-0.038155378030566345,0.19447431810187943,-2.097186085889671e-09,-2.0411163552805917e-09,2.9264902963521277e-09,-2.3697426299892825,decay
9,-0.18583047084886373,0.0,0.18583047084886373,1.6959112749190066e-09,0.0,1.6959112749190066e-09,0.0,decay
28,0.05102911217470915,0.17642328559660092,0.18365496451236724,-1.431224220493978e-09,3.458634288218376e-10,1.4724212307369766e-09,2.9044827773707698,decay
29,0.05102911217470915,-0.17642328559660092,0.18365496451236724,-1.431224220493978e-09,-3.458634288218376e-10,1.4724212307369766e-09,-2.9044827773707698,decay
42,0.14676876567262115,0.08509652467936582,0.16965402762554943,5.68413987564184e-10,1.252068536186161e-11,5.685518699472784e-10,0.022023843862738573,decay
43,0.14676876567262115,-0.08509652467936582,0.16965402762554943,5.68413987564184e-10,-1.252068536186161e-11,5.685518699472784e-10,-0.022023843862738573,decay
40,0.11581696373226015,0.11327326961443449,0.16200124288814585,-3.238574823654725e-10,4.34066416698355e-11,3.26753432155128e-10,3.0083566153482746,decay
41,0.11581696373226015,-0.11327326961443449,0.16200124288814585,-3.238574823654725e-10,-4.34066416698355e-11,3.26753432155128e-10,-3.0083566153482746,decay
18,-0.10579106884423288,0.11606702540388784,0.1570455495495239,-1.9123339818406723e-10,1.1867585173665615e-10,2.2506481370140204e-10,2.5861772146176647,decay
19,-0.10579106884423288,-0.11606702540388784,0.1570455495495239,-1.9123339818406723e-10,-1.1867585173665615e-10,2.2506481370140204e-10,-2.5861772146176647,decay
22,-0.04458121964345915,0.14884130454235958,0.15537444797253433,-1.8590630544260433e-10,-6.79925727501474e-11,1.9794985312574237e-10,-2.7909687430618053,decay
