group,label,representation,month,year,part,region,rms_wind_m_s,rms_geostrophic_m_s,rms_residual_m_s,residual_over_wind_rms,mean_speed_m_s,max_speed_m_s,strong_direction_abs_mean_deg,direction_area_fraction,valid_area_fraction
historical_reference,2016-01,L12_native,1,2016,climatology,focus,30.429311056544943,31.62813509087727,1.6800692965391661,0.055212202912422015,29.798843195768445,38.09074514087267,1.3487786125000016,0.945186802495043,1.0
historical_reference,2016-01,L12_native,1,2016,anomaly,review,6.1375870239496555,5.5737985695608385,1.8864303729937177,0.30735700620335377,5.400593084850678,13.61447567167599,10.122564057550159,0.5219464366974836,1.0
historical_reference,2016-01,L12_native,1,2016,anomaly,focus,6.727790946754246,5.269434793818703,2.187697449251343,0.32517322053634484,6.287464826992181,11.503837459509898,8.362659169083308,0.8050028283307874,1.0
historical_reference,2016-01,L12_fine,1,2016,total,review,26.83215904025883,27.664699739958632,3.110339090638871,0.11591833090926952,23.469080965456058,43.44911137202379,2.646169164985444,0.5937607974484139,1.0
historical_reference,2016-01,L12_fine,1,2016,total,focus,36.07054741911872,35.56987020893728,2.1114417733359234,0.05853644938631515,35.50225479826372,43.44911137202379,1.385267570539422,0.9846660567391742,1.0
historical_reference,2016-01,L12_fine,1,2016,climatology,review,22.697684413356143,24.200295743706473,2.0326062273329835,0.08955125951689256,19.964936550268654,38.09074514087267,1.7661067612648982,0.5300573823850415,1.0
historical_reference,2016-01,L12_fine,1,2016,climatology,focus,30.5004428191247,31.90598831206731,1.8076188733994953,0.05926533211727876,29.898188512093373,38.09074514087267,1.3252295735688653,0.9173447167236141,1.0
historical_reference,2016-01,L12_fine,1,2016,anomaly,review,6.1357229011098156,5.611262794569817,1.8981249126750697,0.30935636163291225,5.400208304489105,13.61447567167599,10.180039428672808,0.5304464682669235,1.0
historical_reference,2016-01,L12_fine,1,2016,anomaly,focus,6.736732892571652,5.300145470595298,2.187534520652493,0.3247174194875096,6.300305765885401,11.503837459509898,8.001413556804618,0.8116102744816616,1.0
historical_reference,2016-01,matched_hybrid_fine,1,2016,total,review,26.852093240662956,27.664699739958632,3.065938856830016,0.11417876548213268,23.48616709125135,43.33849626322677,2.6713873735485643,0.6020448783275333,1.0
historical_reference,2016-01,matched_hybrid_fine,1,2016,total,focus,36.10738335558744,35.56987020893728,2.0025693051700637,0.05546149067210588,35.56553734876755,43.33849626322677,1.5000972379613484,0.9884995425543807,1.0
historical_reference,2016-01,matched_hybrid_fine,1,2016,climatology,review,22.7312972707376,24.200295743706473,2.169449797303906,0.09543889077094941,20.043125737481535,37.71058126644694,1.866432048715158,0.5340282685663454,1.0
historical_reference,2016-01,matched_hybrid_fine,1,2016,climatology,focus,30.53599083757599,31.90598831206731,1.8532368243548705,0.060690246935572636,29.956257871271372,37.71058126644694,1.531116837587034,0.9129276400575144,1.0
historical_reference,2016-01,matched_hybrid_fine,1,2016,anomaly,review,6.1357229011098156,5.611262794569817,1.8981249126750699,0.3093563616329123,5.400208304489105,13.61447567167599,10.447363310733971,0.538730549146043,1.0
historical_reference,2016-01,matched_hybrid_fine,1,2016,anomaly,focus,6.736732892571652,5.300145470595298,2.1875345206524934,0.32471741948750965,6.300305765885403,11.503837459509889,7.986506902162818,0.8154437602968679,1.0
historical_reference,2017-01,native,1,2017,total,review,22.661363853840953,24.20269697174428,2.0201411472230393,0.08914472933987327,19.614600079383077,39.72832343103993,1.3608692343086868,0.5059186947383307,1.0
historical_reference,2017-01,native,1,2017,total,focus,29.612682264901814,32.40767357430573,3.031299983428061,0.10236492447092117,28.43752019141914,39.72832343103993,1.0744375904301333,0.8321163673686669,1.0
historical_reference,2017-01,native,1,2017,climatology,review,22.786057437789367,24.214047841490256,1.7238298339191316,0.07565283457331494,20.056060687508463,37.71058126644694,1.694818908993416,0.5439678646601609,1.0
historical_reference,2017-01,native,1,2017,climatology,focus,30.576198333676523,32.28910132124462,1.952355351076804,0.06385212869732357,29.95983715727749,37.71058126644694,1.3479326109021696,0.9345864492019454,1.0
historical_reference,2017-01,native,1,2017,anomaly,review,4.587045938541585,4.442148343470454,1.3385551711417691,0.29181202653648425,4.189845722218038,8.347141002091739,11.330342317228823,0.44400618536885444,1.0
historical_reference,2017-01,native,1,2017,anomaly,focus,6.2041364993989765,5.715476098309385,1.6853772313663071,0.27165379606486373,6.06303156723789,8.347141002091739,9.67540560174505,0.8076473573414239,1.0
